ano,mes,cotacao
1994,2,0.2317
1994,3,0.3321
1994,4,0.4736
1994,5,0.6819
1994,6,0.9625
1994,7,0.9365
1994,8,0.886
1994,9,0.853
1994,10,0.8445
1994,11,0.8485
1994,12,0.847
1995,1,0.8405
1995,2,0.8505
1995,3,0.9
1995,4,0.9175
1995,5,0.9055
1995,6,0.9193
1995,7,0.9351
1995,8,0.9492
1995,9,0.9529
1995,10,0.9615
1995,11,0.966
1995,12,0.9719
1996,1,0.978
1996,2,0.9845
1996,3,0.9877
1996,4,0.992
1996,5,0.9983
1996,6,1.0042
1996,7,1.0143
1996,8,1.0165
1996,9,1.0212
1996,10,1.0275
1996,11,1.0327
1996,12,1.0391
1997,1,1.0457
1997,2,1.051
1997,3,1.0608
1997,4,1.0635
1997,5,1.0703
1997,6,1.0765
1997,7,1.0829
1997,8,1.0917
1997,9,1.096
1997,10,1.1026
1997,11,1.109
1997,12,1.116
1998,1,1.1231
1998,2,1.13
1998,3,1.137
1998,4,1.1435
1998,5,1.1505
1998,6,1.1566
1998,7,1.1629
1998,8,1.1768
1998,9,1.1843
1998,10,1.193
1998,11,1.2015
1998,12,1.2083
1999,1,2.085
1999,2,2.035
1999,3,1.7175
1999,4,1.6655
1999,5,1.72
1999,6,1.753
1999,7,1.803
1999,8,1.918
1999,9,1.937
1999,10,1.948
1999,11,1.923
1999,12,1.8055
2000,1,1.784
2000,2,1.768
2000,3,1.7395
2000,4,1.805
2000,5,1.824
2000,6,1.807
2000,7,1.7835
2000,8,1.8235
2000,9,1.8435
2000,10,1.9
2000,11,1.9795
2000,12,1.95
2001,1,1.971
2001,2,2.0463
2001,3,2.153
2001,4,2.201
2001,5,2.381
2001,6,2.3105
2001,7,2.473
2001,8,2.564
2001,9,2.67
2001,10,2.696
2001,11,2.495
2001,12,2.311
2002,1,2.413
2002,2,2.365
2002,3,2.325
2002,4,2.361
2002,5,2.518
2002,6,2.8175
2002,7,3.46
2002,8,3.0075
2002,9,3.76
2002,10,3.65
2002,11,3.653
2002,12,3.54
2003,1,3.504
2003,2,3.57
2003,3,3.364
2003,4,2.911
2003,5,2.9735
2003,6,2.837
2003,7,2.9675
2003,8,2.9785
2003,9,2.8925
2003,10,2.8665
2003,11,2.9465
2003,12,2.8915
2004,1,2.9345
2004,2,2.906
2004,3,2.896
2004,4,2.931
2004,5,3.189
2004,6,3.086
2004,7,3.0375
2004,8,2.927
2004,9,2.8595
2004,10,2.8592
2004,11,2.72
2004,12,2.656
2005,1,2.6088
2005,2,2.5895
2005,3,2.68
2005,4,2.5282
2005,5,2.4095
2005,6,2.3364
2005,7,2.38
2005,8,2.3555
2005,9,2.2275
2005,10,2.2518
2005,11,2.2035
2005,12,2.3383
2006,1,2.212
2006,2,2.1235
2006,3,2.164
2006,4,2.087
2006,5,2.3051
2006,6,2.1659
2006,7,2.1775
2006,8,2.1434
2006,9,2.1743
2006,10,2.1428
2006,11,2.165
2006,12,2.1365
2007,1,2.124
2007,2,2.1204
2007,3,2.059
2007,4,2.0348
2007,5,1.9205
2007,6,1.929
2007,7,1.882
2007,8,1.9681
2007,9,1.833
2007,10,1.7368
2007,11,1.7982
2007,12,1.78
2008,1,1.7588
2008,2,1.6914
2008,3,1.7564
2008,4,1.6622
2008,5,1.6265
2008,6,1.6041
2008,7,1.567
2008,8,1.63
2008,9,1.9066
2008,10,2.1642
2008,11,2.3034
2008,12,2.3145
2009,1,2.32
2009,2,2.3914
2009,3,2.3169
2009,4,2.1898
2009,5,1.9715
2009,6,1.9525
2009,7,1.865
2009,8,1.8802
2009,9,1.7715
2009,10,1.7635
2009,11,1.7555
2009,12,1.743
2010,1,1.885
2010,2,1.8072
2010,3,1.7837
2010,4,1.7375
2010,5,1.8201
2010,6,1.8039
2010,7,1.754
2010,8,1.755
2010,9,1.6876
2010,10,1.7012
2010,11,1.715
2010,12,1.6595
2011,1,1.6675
2011,2,1.6638
2011,3,1.632
2011,4,1.5775
2011,5,1.58
2011,6,1.5622
2011,7,1.549
2011,8,1.5892
2011,9,1.879
2011,10,1.7172
2011,11,1.8083
2011,12,1.8632
2012,1,1.7472
2012,2,1.7174
2012,3,1.8264
2012,4,1.9088
2012,5,2.0226
2012,6,2.0095
2012,7,2.0567
2012,8,2.0293
2012,9,2.0257
2012,10,2.0309
2012,11,2.1361
2012,12,2.0485
2013,1,1.9902
2013,2,1.9795
2013,3,2.0235
2013,4,2.001
2013,5,2.1418
2013,6,2.2315
2013,7,2.2764
2013,8,2.3859
2013,9,2.2156
2013,10,2.239
2013,11,2.3355
2013,12,2.3618
2014,1,2.4122
2014,2,2.3381
2014,3,2.2714
2014,4,2.232
2014,5,2.2403
2014,6,2.2137
2014,7,2.2634
2014,8,2.2355
2014,9,2.4449
2014,10,2.4779
2014,11,2.5651
2014,12,2.657
2015,1,2.6814
2015,2,2.838
2015,3,3.1947
2015,4,3.014
2015,5,3.1788
2015,6,3.102
2015,7,3.4204
2015,8,3.6187
2015,9,3.9478
2015,10,3.8562
2015,11,3.8675
2015,12,3.9593
2016,1,3.9973
2016,2,4.0156
2016,3,3.5925
2016,4,3.4352
2016,5,3.6105
2016,6,3.2126
2016,7,3.2471
2016,8,3.2266
2016,9,3.2589
2016,10,3.1878
2016,11,3.3827
2016,12,3.2532
2017,1,3.1507
2017,2,3.1086
2017,3,3.123
2017,4,3.1758
2017,5,3.2262
2017,6,3.3063
2017,7,3.1259
2017,8,3.1474
2017,9,3.1614
2017,10,3.2724
2017,11,3.2726
2017,12,3.3121
2018,1,3.1858
2018,2,3.2458
2018,3,3.3046
2018,4,3.5066
2018,5,3.7225
2018,6,3.8765
2018,7,3.7557
2018,8,4.0545
2018,9,4.0477
2018,10,3.7218
2018,11,3.8662
2018,12,3.8804
2019,1,3.6439
2019,2,3.7511
2019,3,3.9238
2019,4,3.9207
2019,5,3.9218
2019,6,3.8518
2019,7,3.8125
2019,8,4.1445
2019,9,4.1551
2019,10,4.0174
2019,11,4.2364
2019,12,4.019
2020,1,4.282
2020,2,4.4733
2020,3,5.2046
2020,4,5.4858
2020,5,5.3361
2020,6,5.4661
2020,7,5.224
2020,8,5.4914
2020,9,5.6112
2020,10,5.7446
2020,11,5.3319
2020,12,5.1937
2021,1,5.4625
2021,2,5.5986
2021,3,5.6315
2021,4,5.4366
2021,5,5.2172
2021,6,4.9686
2021,7,5.2123
2021,8,5.1492
2021,9,5.4428
2021,10,5.6372
2021,11,5.6239
2021,12,5.5703
2022,1,5.3041
2022,2,5.1599
2022,3,4.739
2022,4,4.9721
2022,5,4.7315
2022,6,5.2562
2022,7,5.1734
2022,8,5.1831
2022,9,5.4154
2022,10,5.1791
2022,11,5.1851
2022,12,5.286
2023,1,5.0731
2023,2,5.2367
2023,3,5.0631
2023,4,4.9865
2023,5,5.0574
2023,6,4.786
2023,7,4.7241
2023,8,4.9544
2023,9,5.032
2023,10,5.035
2023,11,4.8857
